"filename", "language", "JSON", "JavaScript", "HTML", "XML", "CSS", "comment", "blank", "total"
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/package-lock.json", "JSON", 1432, 0, 0, 0, 0, 0, 1, 1433
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/package.json", "JSON", 24, 0, 0, 0, 0, 0, 1, 25
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/chosen-sprite.html", "HTML", 0, 0, 9, 0, 0, 0, 1, 10
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/chosen-sprite@2x.html", "HTML", 0, 0, 9, 0, 0, 0, 1, 10
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/color.css", "CSS", 0, 0, 0, 0, 166, 9, 8, 183
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/main.min.css", "CSS", 0, 0, 0, 0, 10, 31, 1, 42
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/owl.video.play.html", "HTML", 0, 0, 9, 0, 0, 0, 1, 10
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/responsive.css", "CSS", 0, 0, 0, 0, 1777, 3, 20, 1800
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/strip-skins/strip/close.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/strip-skins/strip/error.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/strip-skins/strip/next-small.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/strip-skins/strip/next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/strip-skins/strip/previous-small.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/strip-skins/strip/previous.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/strip.css", "CSS", 0, 0, 0, 0, 300, 67, 62, 429
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/style.css", "CSS", 0, 0, 0, 0, 8392, 181, 1482, 10055
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/fonts/fontawesome-webfont3e6e.svg", "XML", 0, 0, 0, 685, 0, 0, 0, 685
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/fonts/themify9f24.svg", "XML", 0, 0, 0, 362, 0, 0, 0, 362
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/js/backgroundVideo.js", "JavaScript", 0, 221, 0, 0, 0, 125, 60, 406
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/js/custom.js", "JavaScript", 0, 4427, 0, 0, 0, 116, 599, 5142
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/js/echarts.min.js", "JavaScript", 0, 17, 0, 0, 0, 16, 0, 33
