"filename", "language", "HTML", "XML", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/package-lock.json", "JSON", 0, 0, 0, 0, 1477, 0, 1, 1478
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/package.json", "JSON", 0, 0, 0, 0, 24, 0, 1, 25
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/chosen-sprite.html", "HTML", 9, 0, 0, 0, 0, 0, 1, 10
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/chosen-sprite@2x.html", "HTML", 9, 0, 0, 0, 0, 0, 1, 10
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/color.css", "CSS", 0, 0, 0, 166, 0, 9, 8, 183
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/main.min.css", "CSS", 0, 0, 0, 10, 0, 31, 1, 42
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/owl.video.play.html", "HTML", 9, 0, 0, 0, 0, 0, 1, 10
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/responsive.css", "CSS", 0, 0, 0, 1777, 0, 3, 20, 1800
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/strip-skins/strip/close.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/strip-skins/strip/error.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/strip-skins/strip/next-small.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/strip-skins/strip/next.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/strip-skins/strip/previous-small.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/strip-skins/strip/previous.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/strip.css", "CSS", 0, 0, 0, 300, 0, 67, 62, 429
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/css/style.css", "CSS", 0, 0, 0, 8392, 0, 181, 1482, 10055
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/fonts/fontawesome-webfont3e6e.svg", "XML", 0, 685, 0, 0, 0, 0, 0, 685
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/fonts/themify9f24.svg", "XML", 0, 362, 0, 0, 0, 0, 0, 362
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/js/backgroundVideo.js", "JavaScript", 0, 0, 221, 0, 0, 125, 60, 406
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/js/custom.js", "JavaScript", 0, 0, 4427, 0, 0, 116, 599, 5142
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/js/echarts.min.js", "JavaScript", 0, 0, 17, 0, 0, 16, 0, 33
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/js/jquery-3.3.1.min.js", "JavaScript", 0, 0, 1, 0, 0, 1, 1, 3
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/js/main.min.js", "JavaScript", 0, 0, 24887, 0, 0, 0, 6, 24893
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/js/map-init.js", "JavaScript", 0, 0, 49, 0, 0, 1, 11, 61
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/free-social-networking-site-in-nodejs-and-mongodb/public/js/script.js", "JavaScript", 0, 0, 280, 0, 0, 59, 68, 407
